nombre,url,categoria,categoria_url,imagen
ANGIE CELESTE,http://mbnecuador.com/mbnecuador/releases/angie-celeste/,Folklor,http://mbnecuador.com/mbnecuador/releases-genre/folklor/,http://mbnecuador.com/mbnecuador/wp-content/themes/eprom_1_4_8/thumb.php?src=http://mbnecuador.com/mbnecuador/wp-content/uploads/2017/07/AngieCeleste.jpg&a=c&w=420&h=420&q=90
CHARLY RALOS,http://mbnecuador.com/mbnecuador/releases/charly-ralos-2/,Pop,http://mbnecuador.com/mbnecuador/releases-genre/pop/,http://mbnecuador.com/mbnecuador/wp-content/themes/eprom_1_4_8/thumb.php?src=http://mbnecuador.com/mbnecuador/wp-content/uploads/2017/07/CHARLY-RALOS-FOTO.jpg&a=c&w=420&h=420&q=90
RENEANGEL,http://mbnecuador.com/mbnecuador/releases/reneangel/,Bachata,http://mbnecuador.com/mbnecuador/releases-genre/bachata/,http://mbnecuador.com/mbnecuador/wp-content/themes/eprom_1_4_8/thumb.php?src=http://mbnecuador.com/mbnecuador/wp-content/uploads/2017/07/Archivo-5-16-17-8-47-55-PM.jpeg&a=c&w=420&h=420&q=90
FRANCES POSSIERI,http://mbnecuador.com/mbnecuador/releases/frances-possieri-2/,Indie Pop,http://mbnecuador.com/mbnecuador/releases-genre/indie-folk/,http://mbnecuador.com/mbnecuador/wp-content/themes/eprom_1_4_8/thumb.php?src=http://mbnecuador.com/mbnecuador/wp-content/uploads/2017/06/IMG_1632.jpg&a=c&w=420&h=420&q=90
PETER ROMO,http://mbnecuador.com/mbnecuador/releases/peter-romo/,Electro,http://mbnecuador.com/mbnecuador/releases-genre/electro/,http://mbnecuador.com/mbnecuador/wp-content/themes/eprom_1_4_8/thumb.php?src=http://mbnecuador.com/mbnecuador/wp-content/uploads/2017/07/shazam.jpg&a=c&w=420&h=420&q=90
DANIEL PAEZ,http://mbnecuador.com/mbnecuador/releases/daniel-paez/,Pop,http://mbnecuador.com/mbnecuador/releases-genre/pop/,http://mbnecuador.com/mbnecuador/wp-content/themes/eprom_1_4_8/thumb.php?src=http://mbnecuador.com/mbnecuador/wp-content/uploads/2017/07/PORTADA-COBARDE-DANIEL-PAEZ.jpg&a=c&w=420&h=420&q=90
RICARDO WILLIAMS,http://mbnecuador.com/mbnecuador/releases/ricardo-williams-2/,Pop,http://mbnecuador.com/mbnecuador/releases-genre/pop/,http://mbnecuador.com/mbnecuador/wp-content/themes/eprom_1_4_8/thumb.php?src=http://mbnecuador.com/mbnecuador/wp-content/uploads/2017/07/13892372_814720911997978_6738850052158641765_n.jpg&a=c&w=420&h=420&q=90
POLVO,http://mbnecuador.com/mbnecuador/releases/polvo/,Funk,http://mbnecuador.com/mbnecuador/releases-genre/funk/,http://mbnecuador.com/mbnecuador/wp-content/themes/eprom_1_4_8/thumb.php?src=http://mbnecuador.com/mbnecuador/wp-content/uploads/2017/07/polvovideo_10-e1499482979431.jpg&a=c&w=420&h=420&q=90
BETO ZÉNERE,http://mbnecuador.com/mbnecuador/releases/beto-zenere/,Pop,http://mbnecuador.com/mbnecuador/releases-genre/pop/,http://mbnecuador.com/mbnecuador/wp-content/themes/eprom_1_4_8/thumb.php?src=http://mbnecuador.com/mbnecuador/wp-content/uploads/2017/07/DSC_0682-1-621x1024-1.jpg&a=c&w=420&h=420&q=90
HUGO ARMIJOS Y GASPARD,http://mbnecuador.com/mbnecuador/releases/hugo-armijos-y-gaspard/,Pop Rock,http://mbnecuador.com/mbnecuador/releases-genre/pop-rock/,http://mbnecuador.com/mbnecuador/wp-content/themes/eprom_1_4_8/thumb.php?src=http://mbnecuador.com/mbnecuador/wp-content/uploads/2017/07/Hugo-dame-una-mirada.jpg&a=c&w=420&h=420&q=90
ESTO ES ESO,http://mbnecuador.com/mbnecuador/releases/esto-es-eso-3/,Funk,http://mbnecuador.com/mbnecuador/releases-genre/funk/,http://mbnecuador.com/mbnecuador/wp-content/themes/eprom_1_4_8/thumb.php?src=http://mbnecuador.com/mbnecuador/wp-content/uploads/2017/07/CUADRADO-OKA.jpg&a=c&w=420&h=420&q=90
STAR SQUAD,http://mbnecuador.com/mbnecuador/releases/star-squad/,Reggaeton,http://mbnecuador.com/mbnecuador/releases-genre/regueton/,http://mbnecuador.com/mbnecuador/wp-content/themes/eprom_1_4_8/thumb.php?src=http://mbnecuador.com/mbnecuador/wp-content/uploads/2017/06/STAR-SQUAD-OFICIAL-3.png&a=c&w=420&h=420&q=90
ELA & ALBERT QUEEN,http://mbnecuador.com/mbnecuador/releases/ela-albert-queen/,Urbano,http://mbnecuador.com/mbnecuador/releases-genre/urbano/,http://mbnecuador.com/mbnecuador/wp-content/themes/eprom_1_4_8/thumb.php?src=http://mbnecuador.com/mbnecuador/wp-content/uploads/2017/06/Ela-Albert-Queen.jpg&a=c&w=420&h=420&q=90
ESENCIA,http://mbnecuador.com/mbnecuador/releases/esencia/,Hard Rock,http://mbnecuador.com/mbnecuador/releases-genre/hard-rock/,http://mbnecuador.com/mbnecuador/wp-content/themes/eprom_1_4_8/thumb.php?src=http://mbnecuador.com/mbnecuador/wp-content/uploads/2017/02/14525204_188125018291561_4515499062702391599_o.jpg&a=c&w=420&h=420&q=90
